"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"SM0603";1;"100n";;;
2;"C3,C4";"SM0603";2;"0.1u";;;
3;"P2";"testpad";1;"3V3";;;
4;"P4";"testpad";1;"OutA+";;;
5;"P5";"testpad";1;"OutA-";;;
6;"P6";"testpad";1;"RClk+";;;
7;"P7";"testpad";1;"RClk-";;;
8;"P8";"testpad";1;"RDa+";;;
9;"P9";"testpad";1;"RDa-";;;
10;"P10";"testpad";1;"SDA+";;;
11;"P11";"testpad";1;"SDA-";;;
12;"P12";"testpad";1;"CTR+";;;
13;"P13";"testpad";1;"CTR-";;;
14;"P14";"testpad";1;"CLK+";;;
15;"P15";"testpad";1;"CLK-";;;
16;"P16";"testpad";1;"160Clk+";;;
17;"P17";"testpad";1;"160Clk-";;;
18;"R22,R25,R26";"SM0603";3;"10k 0.1%";;;
19;"R23,R24";"SM0603";2;"10k 5%";;;
20;"R16,R18,R21,R19,R15,R13,R12,R10,R9,R7,R6,R4,R3,R1";"SM0402";14;"39";;;
21;"R2,R5,R8,R11,R14,R20,R17";"SM0402";7;"91";;;
22;",G***";"LOGO";2;"LOGO";;;
23;"HVarrow,HVarrow,HVarrow";"HVarrow";3;"";;;
24;"C2";"SM0603";1;"1u";;;
25;"JP1";"jumper";1;"JUMPER";;;
26;"P3";"testpad";1;"VD";;;
27;"P20";"testpad";1;"GND";;;
28;"U1";"SO8N";1;"24C02";;;
29;"loch,loch,loch,loch,loch,loch,loch";"lochM2";7;"M2";;;
30;"J2";"SMK20";1;"CONN-SMK20";;;
31;"J1";"SCSI68up";1;"CONN-SCSI68";;;
32;"impedtext";"impedtext_pm";1;"160Clk";;;
33;"impedtext";"impedtext_pm";1;"CLK";;;
34;"impedtext";"impedtext_pm";1;"CTR";;;
35;"impedtext";"impedtext_pm";1;"RDa";;;
36;"impedtext";"impedtext_pm";1;"SDA";;;
37;"impedtext";"impedtext_pm";1;"RClk";;;
38;"impedtext";"impedtext_pm";1;"OutA";;;
39;"P1";"testpad";1;"VA";;;
40;"P18";"testpad";1;"RTD+";;;
41;"P19";"testpad";1;"RTD-";;;
